antonyms,Oposmenalexi,Antonyms,Antonimoj,Antónimos,Antonyme,Antoniemen,Antonymes,Antonimi,Антонимы,Antonyma,,מילים מנוגדות,أضداد,反义词列表,対義語一覧,,אַנטאָנימען,Zıt anlamlılar,Антонимнар,antônimo,antonim,antonym,विरुद्धार्थकाः,αντώνυμο,antonim,антони́м,анто́нім,Антоними,opozitum,antonima,반의어,từ trái nghĩa,antonim,Antonim,kasalungat,متضاد,विलोम,متضاد,বিপরীতার্থক,எதிர்ச்சொல்,వ్యతిరేక పదము,,വിപരീതം,વિરુદ્ધાર્થક,ਵਿਰੋਧੀ,Kinyume
sound_effect,Sotili efeto,Sound effect,Sonefiko,Efecto sonoro,Toneffekt,Geluidseffect,Effet sonore,Effetto sonoro,Звуковой эффект,Effectus sonitus,ἦχος,אפקט קולי,مؤثّر صوتيّ,音效示例,効果音,swēġ,קלאַנג־ווירקונג,Ses efekti,Тавыш эффекты,som,sunet,ljud,नाद,ήχος,fonia,шум,звук,Звучни ефекат,zvuk,hang,음,tiếng,bunyi,bunyi,tunog,آواز,शब्द,آواز,শব্দ,ஒலி,ధ్వని,ಶಬ್ದ,ഒച്ച,ધ્વનિ,ਧੁਨੀ,sauti
grammar.noun,Namelexi,Noun,Substantivo,Sustantivo,Substantiv,Substantief,Nom,Nome,Существительное,Nomen,Ὄνομα,שם עצם,اسم,名词,名詞,Nama,סובסטאַנטיוו,İsim,Исем,substantivo,substantiv,tingord,नाम,ουσιαστικό,rzeczownik,съществи́телно,іме́нник,Именица,substantivum,főnév,명사,danh từ,nomina,kata nama,pangngalan,اسم,संज्ञा,نام,বিশেষ্য,பெயர்,నామవాచకము,ನಾಮಪದ,നാമം,સંજ્ઞા,شَے,jina
grammar.proper_noun,Suli namelexi,Proper noun,Propra nomo,Nombre propio,Eigenname,Eigennaam,Nom propre,Nome proprio,Имя собственное,Nomen proprium,ὄνομα κύριον,שם עצם פרטי,اسم علم,专有名词,固有名詞,āgen nama,אייגענער נאָמען,Özel isim,Үзлекле исем,nome próprio,nume propriu,egennamn,विशेष्यनाम,κύριο όνομα,nazwa własna,со́бствено и́ме,вла́сне ім'я́,Властита именица,proprium,tulajdonnév,고유명사,danh từ riêng,nomina diri,kata nama khas,pangngalang pantangi,اسم خاص,नामवाचक संज्ञा,اِسْمِ خاص,নামবাচক বিশেষ্য,சிறப்புப் பெயர்,సంజ్ఞానామము,,സംജ്ഞാനാമം,વિશેષનામ,ਖ਼ਾਸ ਨਾਂਵ,Nomino maalum
grammar.verb,Falelexi,Verb,Verbo,Verbo,Verb,Werkwoord,Verbe,Verbo,Глагол,Verbum,Ῥῆμα,פועל,فعل,动词,動詞,Word,ווערב,Fiil,Фигыль,verbo,verb,verb,क्रिया,ρήμα,czasownik,глаго́л,дієсло́во,Глагол,sloveso,ige,동사,động từ,verba,kata kerja,pandiwa,فعل,क्रिया,فِعْل,ক্রিয়া,வினைச்சொல்,క్రియ,ಕ್ರಿಯಾಪದ,ക്രിയ,ક્રિયાપદ,ਕਿਰਿਆ,kitenzi
grammar.adjective,Sifalexi,Adjective,Adjektivo,Adjetivo,Adjektiv,Bijvoeglijk naamwoord,Adjectif,Aggettivo,Прилагательное,Adiectivum,ἐπίθετον,שם תואר,صفة,形容词,形容詞,tōġeīecendlīċ,בײַוואָרט,Sıfat,Сифат,adjetivo,adjectiv,adjektiv,विशेषण,επίθετο,adiektyw,прилага́телно,прикме́тник,Придев,přídavné jméno,melléknév,형용사,tính từ,adjektiva,adjektif,pang-uri,صفت,विशेषण,صِفَت,বিশেষণ,பெயரடை,విశేషణము,ವಿಶೇಷಣ,നാമവിശേഷണം,વિશેષણ,ਵਿਸ਼ੇਸ਼ਣ,sifa
grammar.verbal_adverb,Falelexili manerlexi,Verbal adverb,Verba adverbo,Adverbio verbal,Verbales Adverb,Werkwoordelijk bijwoord,Adverbe verbal,Avverbio verbale,Деепричастие,Adverbium verbale,ἐπίρρημα,תואר הפועל,ظرف فعليّ,动词性副词,動詞的副詞,bīword,ווערבאַלער בײַוואָרט,Zarf-fiil,Фигыль сыйфаты,advérbio,adverb,adverb,क्रियाविशेषण,επίρρημα,adwerbium,наре́чие,прислі́вник,Глаголски прилог,příslovce,határozószó,부사,phó từ,adverbia,adverba,pang-abay,وجه وصفی,क्रियाविशेषण,تابِعِ فِعْل,ক্রিয়া-বিশেষণ,வினையுரிச்சொல்,క్రియా విశేషణము,ಕ್ರಿಯಾವಿಶೇಷಣ,ക്രിയാവിശേഷണം,ક્રિયાવિશેષણ,ਕਿਰਿਆ-ਵਿਸ਼ੇਸ਼ਣ,kisifa
grammar.adverb,Manerlexi,Adverb,Adverbo,Adverbio,Adverb,Bijwoord,Adverbe,Avverbio,Наречие,Adverbium,ἐπίρρημα,תואר הפועל,ظرف,副词,副詞,bīword,אַדווערב,Zarf,Рәвеш,advérbio,adverb,adverb,क्रियाविशेषण,επίρρημα,adwerbium,наре́чие,прислі́вник,Прилог,příslovce,határozószó,부사,phó từ,adverbia,adverba,pang-abay,قید,क्रियाविशेषण,تابِعِ فِعْل,ক্রিয়া-বিশেষণ,வினையுரிச்சொல்,క్రియా విశేషణము,ಕ್ರಿಯಾವಿಶೇಷಣ,ക്രിയാവിശേഷണം,ક્રિયાવિશેષણ,ਕਿਰਿਆ-ਵਿਸ਼ੇਸ਼ਣ,kisifa
grammar.interjection,Intrelogalexi,Interjection,Interjekcio,Interjección,Interjektion,Tussenwerpsel,Interjection,Interiezione,Междометие,Interjectio,ἐπιφώνημα,מילת קריאה,اسم تعجّب,感叹词,感動詞,betwēoxāworpennes,אויסרופֿוואָרט,Ünlem,Ымлык,interjeição,interjecție,interjektion,विस्मयादिबोधकः,επιφώνημα,wykrzyknik,междуме́тие,ви́гук,Узвик,citoslovce,mondatszó,감탄사,thán từ,kata seru,kata seru,pandamdam,ندا,हरफ,حرفِ ندا,মধ্যে নিক্ষেপ,வியப்பிடைச் சொல்,ఆశ్చర్యార్థకం,,വ്യാക്ഷേപകം,ઉદ્ગારવાચક,ਵਿਸਮਿਕ,kiingizi
grammar.preposition,Lefeplasilexi,Preposition,Prepozicio,Preposición,Präposition,Voorzetsel,Préposition,Preposizione,Предлог,Praepositio,πρόθεσις,מילת יחס,حرف جرّ,介词,前置詞,fōresetnes,פֿאָרשטעלער,Edat,Бәйлек,preposição,prepoziție,Preposition,पूर्वसर्गः,πρόθεση,przyimek,предло́г,прийме́нник,Предлог,předložka,elöljáró,전치사,giới từ,kata depan,kata depan,pang-ukol,حرف اضافه,पूर्वसर्ग,حَرْفِ جَر,পদান্বয়ী অব্যয়,முன்னிலை உருபு,విభక్తి,,ഗതി,પૂર્વસર્ગ,ਪੂਰਕ-ਅਵਯਵ,kihusishi
grammar.conjunction,Linkulexi,Conjunction,Konjunkcio,Conjunción,Konjunktion,Voegwoord,Conjonction,Congiunzione,Союз,Coniunctio,σύνδεσμος,מילת חיבור,حرف عطف,连词,接続詞,,פֿאַרבינדונגסוואָרט,Bağlaç,Теркәгеч,conjunção,unire,bindeord,संयोजकः,σύζευξη,łączenie,свъ́рзване,сполу́чник,Везник,spojka,egyesítés,결합,liên từ,konjungsi,penggabungan,pangatnig,حرف ربط,समुच्चय,حَرْفِ رَبْط,সংযোজক,இணைப்புச் சொல்,సంయోజకము,,ഘടകം,સંયોજક,ਸੰਯੋਜਕ,kiunganishi
grammar.determiner,Dingyalexi,Determiner,Determinanto,Determinante,Determinativ,Determinator,Déterminant,Determinante,Определитель,Determinativum,ἄρθρον,מילת הגדרה,أداة تعريف,限定词,限定詞,,אַרטיקל,Belirleyici,Билгеләүче,determinante,determinant,determinant,निर्देशकः,προσδιοριστής,określnik,детермина́нта,визна́чник,Одредница,determinátor,névelőféle,한정사,định thức,artikel,penunjuk,pantukoy,دترمینان,लेख,دترمینان,নির্ণায়ক,குறிப்பான்,నిర్దేశకం,,നിർണ്ണായകം,નિર્ધારક,ਨਿਰਧਾਰਕ,makala
grammar.pronoun,Pornamelexi,Pronoun,Pronomo,Pronombre,Pronomen,Voornaamwoord,Pronom,Pronome,Местоимение,Pronomen,ἀντωνυμία,כינוי גוף,ضمير,代词,代名詞,bīnama,פֿאַרנאָמען,Zamir,Алмашлык,pronome,pronume,pronomen,सर्वनामन्,αντωνυμία,zaimek,местоиме́ние,займе́нник,Заменица,zájmeno,névmás,대명사,đại từ,pronomina,kata ganti diri,panghalip,ضمیر,सर्वनाम,ضَمِیر,সর্বনাম,பெயர்,సర్వనామము,,സർവ്വനാമം,સર્વનામ,ਪੜਨਾਂਵ,kiwakilishi
grammar.number,Numerlexi,Number,Numero,Numeral,Numerale,Telwoord,Numéral,Numerale,Числительное,Numerale,,שם מספר,عدد,数词,数詞,tæl,צאָלוואָרט,Sayı,Сан,número,număr,tal,संख्या,πλήθος,liczba,число́,число́,Број,číslo,szám,수,số,angka,angka,bilang,عَدَد,अंक,عَدَد,অঙ্ক,எண்,సంఖ్య,,സംഖ്യ,નંબર,ਗਿਣਤੀ,namba
grammar.particle,Partikul,Particle,Partikulo,Partícula,Partikel,Partikel,Particule,Particella,Частица,Particula,,מילית,أداة,助词,助詞,,פּאַרטיקל,İlgeç,Кисәкчә,partícula,particulă,partikel,कण,μόριο,cząstka,части́ца,ча́стка,Честица,částice,részecske,립자,hạt,Partikel,Partikel,tipik,ادات,कण,ذَرَّہ,কণা,இடைச்சொல்,అవ్యయం,,കണം,કણ,ਕਣ,punje
grammar.prefix,Lefefikso,Prefix,Prefikso,Prefijo,Präfix,Voorvoegsel,Préfixe,Prefisso,Приставка,Praefixum,,קידומת,سابقة,前缀,接頭辞,,פֿאָרצײַל,Önek,Кушымча,Prefixo,Prefix,förstavelse,उपसर्गः,πρόθημα,prefiks,префи́кс,пре́фікс,Префикс,předpona,előtag,접두어,tiền tố,awalan,awalan,unlapi,پیشوند,उपसर्ग,سابقہ,উপসর্গ,முன்னொட்டு,ఉపసర్గ,,ഉപസർഗം,ઉપસર્ગ,ਅਗੇਤਰ,kiambishi awali
grammar.phrase,Jumlemon,Phrase,Frazo,Frase,Phrase,Woordgroep,Syntagme,Sintagma,Фраза,Phrasis,,ביטוי,عبارة,短语,句,,פֿראַזע,Öbek,Фраза,frase,frază,fras,वाक्यांशः,φράση,fraza,фра́за,фра́за,Фраза,fráze,mondás,구,câu,frasa,frasa,parirala,بَیان,वाक्य,عِبارَت,ফ্রেজ,சொற்றொடர்,పదబంధం,,പ്രയോഗം,વાક્યસમૂહ,ਵਾਕੰਸ਼,Kirai
grammar.noun_phrase,Namelexili jumlemon,Noun phrase,Substantiva frazo,Frase nominal,Nominalphrase,Nominale woordgroep,Syntagme nominal,Sintagma nominale,Именная группа,Phrasis nominalis,,צירוף שמני,عبارة اسميّة,名词短语,名詞句,,נאָמען־פֿראַזע,İsim öbeği,Исем фразасы,locução nominal,locuțiune substantivală,nominalfras,संज्ञावाक्यांशः,ονοματική φράση,fraza rzeczownikowa,Именна фраза,Іменникове словосполучення,Именска фраза,Jmenná fráze,főnévi csoport,명사구,danh ngữ,Frasa nomina,Frasa nama,Pariralang pangngalan,گروه اسمی,संज्ञा वाक्यांश,اسمی جملہ,বিশেষ্য বাক্যাংশ,பெயர்ச்சொற்றொடர்,నామ పదబంధం,,നാമപ്രയോഗം,નામવાક્યસમૂહ,ਨਾਂਵ ਵਾਕੰਸ਼,Kirai cha nomino
grammar.verb_phrase,Falelexili jumlemon,Verb phrase,Verba frazo,Frase verbal,Verbalphrase,Verbale woordgroep,Syntagme verbal,Sintagma verbale,Глагольная группа,Phrasis verbalis,,צירוף פועלי,عبارة فعليّة,动词短语,動詞句,,ווערב־פֿראַזע,Fiil öbeği,Фигыль фразасы,sintagma verbal,locuțiune verbală,Verbfras,क्रियावाक्यांशः,Ρηματική φράση,grupa werbalna,Глаголна фраза,Дієслівне словосполучення,Глаголска фраза,Slovesná fráze,igei csoport,동사구,cụm động từ,frasa verba,Frasa kerja,Pariralang pandiwa,عبارت فعلی,क्रिया वाक्यांश,فعلی جملہ,ক্রিয়া বাক্যাংশ,வினைச்சொற்றொடர்,క్రియా పదబంధం,,ക്രിയാപ്രയോഗം,ક્રિયાવાક્યસમૂહ,ਕਿਰਿਆ ਵਾਕੰਸ਼,Kirai cha kitenzi
grammar.adjective_phrase,Sifalexili jumlemon,Adjective phrase,Adjektiva frazo,Frase adjetiva,Adjektivphrase,Adjectivische woordgroep,Syntagme adjectival,Sintagma aggettivale,Адъективная группа,Phrasis adiectivalis,,צירוף תוארי,عبارة وصفيّة,形容词短语,形容詞句,,בײַנאָמען־פֿראַזע,Sıfat öbeği,Сифат фразасы,locução adjetiva,locuțiune adjectivală,adjektivfras,विशेषणवाक्यांशः,Επιθετική φράση,Fraza przymiotnikowa,Прилагателна фраза,Прикметникове словосполучення,Придевска фраза,Přídavná fráze,Melléknévi kifejezés,형용사구,Cụm tính từ,Frasa adjektiva,Frasa adjektif,Pariralang pang-uri,عبارت وصفی,विशेषण वाक्यांश,وصفی جملہ,বিশেষণ বাক্যাংশ,பெயரடைச் சொற்றொடர்,విశేషణ పదబంధం,,വിശേഷണപ്രയോഗം,વિશેષણવાક્યસમૂહ,ਵਿਸ਼ੇਸ਼ਣ ਵਾਕੰਸ਼,Kirai cha kivumishi
grammar.phrasal_adverb,Jumlemonli manerlexi,Phrasal adverb,Fraza adverbo,Adverbio frasal,Phrasales Adverb,Frasaal bijwoord,Adverbe phrasal,Avverbio frasale,Фразовое наречие,Adverbium phrasale,,תואר פועל מורכב,ظرف عباريّ,短语副词,句副詞,,פֿראַזעלעכער בײַוואָרט,Öbeksel zarf,Фразалы рәвеш,Advérbio frasal,Adverb frazal,Frasadverb,वाक्यांशक्रियाविशेषणम्,Φραστικό επίρρημα,Przysłówek frazowy,Фразово наречие,Фразовий прислівник,Фразални прилог,Frázové příslovce,Frázisos határozószó,구 부사,Trạng từ cụm từ,Adverbia frasa,Adverba frasa,Pang-abay na parirala,قید عبارتی,वाक्यांशिक क्रियाविशेषण,جملاتی حال,বাক্যাংশিক ক্রিয়া-বিশেষণ,சொற்றொடர் உரிச்சொல்,వాక్య క్రియావిశేషణం,,പ്രയോഗക്രിയാവിശേഷണം,ક્રિયાવિશેષણવાક્ય,ਵਾਕੰਸ਼ੀ ਕ੍ਰਿਆ-ਵਿਸ਼ੇਸ਼ਣ,Kielezi cha kirai
grammar.phrasal_preposition,Jumlemonli plasilexi,Phrasal preposition,Fraza prepozicio,Preposición frasal,Phrasale Präposition,Frasaal voorzetsel,Préposition phrastique,Preposizione frasale,Фразовый предлог,Praepositio phrasalis,,מילת יחס מורכבת,حرف جرّ عباريّ,短语介词,句前置詞,,פֿראַזעלעכע פֿאָרשטעלונג,Öbeksel edat,Фразалы бәйлек,locução prepositiva,locuțiune prepozițională,Fraspreposition,वाक्यांशपूर्वसर्गः,Φραστική πρόθεση,Przyimek frazowy,Фразов предлог,Фразовий прийменник,Фразални предлог,Frázová předložka,Frázisos elöljáró,구 전치사,Giới từ cụm từ,Preposisi frasa,Kata sendi frasa,Pang-ukol na parirala,حرف اضافهٔ عبارتی,वाक्यांशिक पूर्वसर्ग,جملاتی حرفِ جار,বাক্যাংশিক অনুসর্গ,சொற்றொடர் முன்னிலை,వాక్య విభక్తి,,പ്രയോഗപൂർവ്വപദം,પૂર્વસર્ગવાક્ય,ਵਾਕੰਸ਼ੀ ਪੂਰਕ,Kihusishi cha kirai
grammar.phrasal_conjunction,Jumlemonli linkulexi,Phrasal conj.,Fraza konjunkcio,Conjunción frasal,Phrasale Konjunktion,Frasaal voegwoord,Conjonction phrastique,Congiunzione frasale,Фразовый союз,Coniunctio phrasalis,,מילת חיבור מורכבת,حرف عطف عباريّ,短语连词,句接続詞,,פֿראַזעלעכע פֿאַרבינדונג,Öbeksel bağlaç,Фразалы теркәгеч,Conjunção frásica,Conjuncție frazală,Fraskonjunktion,वाक्यांशसंयोजकः,Φραστικός σύνδεσμος,Spójnik frazowy,Фразов съюз,Фразовий сполучник,Фразална везница,Frázová spojka,Frázisos kötőszó,구 접속사,Liên từ cụm từ,Konjungsi frasa,Kata hubung frasa,Pangatnig na parirala,حرف ربط عبارتی,वाक्यांशिक संयोजक,جملاتی حرفِ عطف,বাক্যাংশিক সংযোজক,சொற்றொடர் இணைப்பு,వాక్య సమ్మేళనం,,പ്രയോഗസംയോജകം,સંયોજકવાક્ય,ਵਾਕੰਸ਼ੀ ਸੰਯੋਜਕ,Kiunganishi cha kirai
grammar.prepositional_phrase,Plasilexili jumlemon,Prep. phrase,Prepozicia frazo,Frase preposicional,Präpositionalphrase,Voorzetselgroep,Syntagme prépositionnel,Sintagma preposizionale,Предложная группа,Phrasis praepositionalis,,צירוף יחסי,عبارة جرّيّة,介词短语,前置詞句,,פֿאָרשטעלונג־פֿראַזע,Edat öbeği,Бәйлекле фраза,Frase preposicional,Sintagmă prepozițională,Prepositionsfras,पूर्वसर्गवाक्यांशः,Προθετική φράση,Fraza przyimkowa,Предложна фраза,Прийменниковий зворот,Предложна фраза,Předložková fráze,Elöljárós kifejezés,전치사구,Cụm giới từ,Frasa preposisi,Frasa kata sendi,Pariralang pang-ukol,عبارت حرف‌اضافه‌ای,पूर्वसर्गीय वाक्यांश,جاری جملہ,অনুসর্গীয় বাক্যাংশ,முன்னிலைச் சொற்றொடர்,విభక్తి పదబంధం,,പൂർവ്വപദപ്രയോഗം,પૂર્વસર્ગીયવાક્ય,ਪੂਰਕ ਵਾਕੰਸ਼,Kirai cha kihusishi
grammar.postposition,Xafeplasilexi,Postposition,Postpozicio,Posposición,Postposition,Postpositie,Postposition,Posposizione,Послелог,Postpositio,ὑπόταξις,מילת יחס אחורית,لاحقة موضعيّة,后置词,後置詞,,נאָכפֿאָרשטעלונג,Sontakı,Артбәйлек,posposição,postpoziție,Postposition,पश्चात्सर्गः,Μετάθεση,poimek,Постпозиция,Постпозиція,Постпозиција,Postpozice,névutó,조사,hậu giới từ,Posposisi,Posposisi,Panghuling pang-ukol,پس‌اضافه,परसर्ग,لاحقہ,পরসর্গ,பின்னிலை உருபு,అనుసర్గ,,അനുസർഗ്ഗം,પરસર્ગ,ਪਿਛੇਤਰ,Kihusishi cha baada
grammar.possessive_pronoun,Suyali pornamelexi,Poss. pronoun,Poseda pronomo,Pronombre posesivo,Possessivpronomen,Bezittelijk voornaamwoord,Pronom possessif,Pronome possessivo,Притяжательное местоимение,Pronomen possessivum,κτητῐκή ᾰ̓ντωνῠμῐ́ᾱ,כינוי שייכות,ضمير ملكيّة,物主代词,所有代名詞,,אייגנטום־פֿאָרנאָמען,İyelik zamiri,Милек алмашлыгы,Pronome possessivo,Pronume posesiv,Possessivt pronomen,स्वामित्वसर्वनामम्,Κτητική αντωνυμία,Zaimek dzierżawczy,Притежателно местоимение,Присвійний займенник,Присвојна заменица,Přivlastňovací zájmeno,Birtokos névmás,소유 대명사,Đại từ sở hữu,Kata ganti kepemilikan,Kata ganti milik,Panghalip na paari,ضمیر ملکی,स्वामित्ववाचक सर्वनाम,اضافی ضمیر,সম্বন্ধবাচক সর্বনাম,உடைமைப் பிரதிப்பெயர்,సమీకరణ సర్వనామం,,സ്വാമിത്വസർവ്വനാമം,સ્વામિત્વવાચક સર્વનામ,ਸੰਬੰਧਕ ਪੜਨਾਂਵ,Kiwakilishi cha umiliki
grammar.possessive_adjective,Suyali sifalexi,Poss. adjective,Poseda adjektivo,Adjetivo posesivo,Possessivadjektiv,Bezittelijk bijvoeglijk naamwoord,Adjectif possessif,Aggettivo possessivo,Притяжательное прилагательное,Adjectivum possessivum,,תואר שייכות,صفة ملكيّة,物主形容词,所有形容詞,,אייגנטום־בײַנאָמען,İyelik sıfatı,Милек сифаты,Adjetivo possessivo,Adjectiv posesiv,Possessivt adjektiv,स्वामित्वविशेषणम्,Κτητικό επίθετο,Przymiotnik dzierżawczy,Притежателно прилагателно,Присвійний прикметник,Присвојни придев,Přivlastňovací přídavné jméno,Birtokos melléknév,소유 형용사,Tính từ sở hữu,Kata sifat kepemilikan,Adjektif milik,Pang-uring paari,صفت ملکی,स्वामित्ववाचक विशेषण,اضافی صفت,সম্বন্ধবাচক বিশেষণ,உடைமைப் பெயரடை,సమీకరణ విశేషణం,,സ്വാമിത്വവിശേഷണം,સ્વામિત્વવાચક વિશેષણ,ਸੰਬੰਧਕ ਵਿਸ਼ੇਸ਼ਣ,Kivumishi cha umiliki
grammar.proper_adjective,Suli tosifulexi,Proper adjective,Propra adjektivo,Adjetivo propio,Eigenadjektiv,Eigen bijvoeglijk naamwoord,Adjectif propre,Aggettivo proprio,Собственное прилагательное,Adjectivum proprium,,שם תואר פרטי,صفة علم,专有形容词,固有形容詞,,אייגן בײַנאָמען,Özel sıfat,Үзлек сифат,adjetivo,adjectiv,adjektiv,विशेषण,επίθετο,adiektyw,прилага́телно,прикме́тник,Прави придев,přídavné jméno,melléknév,형용사,tính từ,adjektiva,adjektif,pang-uri,صفت خاص,विशेषण,صِفَت,বিশেষণ,பெயரடை,విశేషణము,ವಿಶೇಷಣ,നാമവിശേഷണം,વિશેષ વિશેષણ,ਖ਼ਾਸ ਵਿਸ਼ੇਸ਼ਣ,sifa
